ID,Value,Date
NVDA,62.47,2024-01-29
NVDA,62.77,2024-01-30
NVDA,61.53,2024-01-31
NVDA,63.03,2024-02-01
NVDA,66.16,2024-02-02
NVDA,69.33,2024-02-05
NVDA,68.22,2024-02-06
NVDA,70.1,2024-02-07
NVDA,69.64,2024-02-08
NVDA,72.13,2024-02-09
NVDA,72.25,2024-02-12
NVDA,72.13,2024-02-13
NVDA,73.9,2024-02-14
NVDA,72.66,2024-02-15
NVDA,72.61,2024-02-16
NVDA,69.45,2024-02-20
NVDA,67.47,2024-02-21
NVDA,78.54,2024-02-22
NVDA,78.82,2024-02-23
NVDA,79.09,2024-02-26
NVDA,78.7,2024-02-27
NVDA,77.66,2024-02-28
NVDA,79.11,2024-02-29
NVDA,82.28,2024-03-01
NVDA,85.24,2024-03-04
NVDA,85.96,2024-03-05
NVDA,88.7,2024-03-06
NVDA,92.67,2024-03-07
NVDA,87.53,2024-03-08
NVDA,85.77,2024-03-11
NVDA,91.91,2024-03-12
NVDA,90.89,2024-03-13
NVDA,87.94,2024-03-14
NVDA,87.84,2024-03-15
NVDA,88.46,2024-03-18
NVDA,89.4,2024-03-19
NVDA,90.37,2024-03-20
NVDA,91.44,2024-03-21
NVDA,94.29,2024-03-22
NVDA,95,2024-03-25
NVDA,92.56,2024-03-26
NVDA,90.25,2024-03-27
NVDA,90.36,2024-03-28
NVDA,90.36,2024-04-01
NVDA,89.45,2024-04-02
NVDA,88.96,2024-04-03
NVDA,85.91,2024-04-04
NVDA,88.01,2024-04-05
NVDA,87.13,2024-04-08
NVDA,85.35,2024-04-09
NVDA,87.04,2024-04-10
NVDA,90.62,2024-04-11
NVDA,88.19,2024-04-12
NVDA,86,2024-04-15
NVDA,87.42,2024-04-16
NVDA,84.04,2024-04-17
NVDA,84.67,2024-04-18
NVDA,76.2,2024-04-19
NVDA,79.52,2024-04-22
NVDA,82.42,2024-04-23
NVDA,79.68,2024-04-24
NVDA,82.63,2024-04-25
NVDA,87.74,2024-04-26
NVDA,87.76,2024-04-29
NVDA,86.4,2024-04-30
NVDA,83.04,2024-05-01
NVDA,85.82,2024-05-02
NVDA,88.79,2024-05-03
NVDA,92.14,2024-05-06
NVDA,90.55,2024-05-07
NVDA,90.41,2024-05-08
NVDA,88.75,2024-05-09
NVDA,89.88,2024-05-10
NVDA,90.4,2024-05-13
NVDA,91.36,2024-05-14
NVDA,94.63,2024-05-15
NVDA,94.36,2024-05-16
NVDA,92.48,2024-05-17
NVDA,94.78,2024-05-20
NVDA,95.39,2024-05-21
NVDA,94.95,2024-05-22
NVDA,103.8,2024-05-23
NVDA,106.47,2024-05-24
NVDA,113.9,2024-05-28
NVDA,114.83,2024-05-29
NVDA,110.5,2024-05-30
NVDA,109.63,2024-05-31
NVDA,115,2024-06-03
NVDA,116.44,2024-06-04
NVDA,122.44,2024-06-05
NVDA,121,2024-06-06
NVDA,120.89,2024-06-07
NVDA,121.79,2024-06-10
NVDA,120.91,2024-06-11
NVDA,125.2,2024-06-12
NVDA,129.61,2024-06-13
NVDA,131.88,2024-06-14
NVDA,130.98,2024-06-17
NVDA,135.58,2024-06-18
NVDA,130.78,2024-06-20
NVDA,126.57,2024-06-21
NVDA,118.11,2024-06-24
NVDA,126.09,2024-06-25
NVDA,126.4,2024-06-26
NVDA,123.99,2024-06-27
NVDA,123.54,2024-06-28
NVDA,124.3,2024-07-01
NVDA,122.67,2024-07-02
NVDA,128.28,2024-07-03
NVDA,125.83,2024-07-05
NVDA,128.2,2024-07-08
NVDA,131.38,2024-07-09
NVDA,134.91,2024-07-10
NVDA,127.4,2024-07-11
NVDA,129.24,2024-07-12
NVDA,128.44,2024-07-15
NVDA,126.36,2024-07-16
NVDA,117.99,2024-07-17
NVDA,121.09,2024-07-18
NVDA,117.93,2024-07-19
NVDA,123.54,2024-07-22
NVDA,122.59,2024-07-23
NVDA,114.25,2024-07-24
NVDA,112.28,2024-07-25
NVDA,113.06,2024-07-26
NVDA,111.59,2024-07-29
NVDA,103.73,2024-07-30
NVDA,117.02,2024-07-31
NVDA,109.21,2024-08-01
NVDA,107.27,2024-08-02
NVDA,100.45,2024-08-05
NVDA,104.25,2024-08-06
NVDA,98.91,2024-08-07
NVDA,104.97,2024-08-08
NVDA,104.75,2024-08-09
NVDA,109.02,2024-08-12
NVDA,116.14,2024-08-13
NVDA,118.08,2024-08-14
NVDA,122.86,2024-08-15
NVDA,124.58,2024-08-16
NVDA,130,2024-08-19
NVDA,127.25,2024-08-20
NVDA,128.5,2024-08-21
NVDA,123.74,2024-08-22
NVDA,129.37,2024-08-23
NVDA,126.46,2024-08-26
NVDA,128.3,2024-08-27
NVDA,125.61,2024-08-28
NVDA,117.59,2024-08-29
NVDA,119.37,2024-08-30
NVDA,108,2024-09-03
NVDA,106.21,2024-09-04
NVDA,107.21,2024-09-05
NVDA,102.83,2024-09-06
NVDA,106.47,2024-09-09
NVDA,108.1,2024-09-10
NVDA,116.91,2024-09-11
NVDA,119.14,2024-09-12
NVDA,119.1,2024-09-13
NVDA,116.78,2024-09-16
NVDA,115.59,2024-09-17
NVDA,113.37,2024-09-18
NVDA,117.87,2024-09-19
NVDA,116,2024-09-20
NVDA,116.26,2024-09-23
NVDA,120.87,2024-09-24
NVDA,123.51,2024-09-25
NVDA,124.04,2024-09-26
NVDA,121.4,2024-09-27
NVDA,121.44,2024-09-30
NVDA,117,2024-10-01
NVDA,118.85,2024-10-02
NVDA,122.85,2024-10-03
NVDA,124.92,2024-10-04
NVDA,127.72,2024-10-07
NVDA,132.89,2024-10-08
NVDA,132.65,2024-10-09
NVDA,134.81,2024-10-10
NVDA,134.8,2024-10-11
NVDA,138.07,2024-10-14
NVDA,131.6,2024-10-15
NVDA,135.72,2024-10-16
NVDA,136.93,2024-10-17
NVDA,138,2024-10-18
NVDA,143.71,2024-10-21
NVDA,143.59,2024-10-22
NVDA,139.56,2024-10-23
NVDA,140.41,2024-10-24
NVDA,141.54,2024-10-25
NVDA,140.52,2024-10-28
NVDA,141.25,2024-10-29
NVDA,139.34,2024-10-30
NVDA,132.76,2024-10-31
NVDA,135.4,2024-11-01
NVDA,136.05,2024-11-04
NVDA,139.91,2024-11-05
NVDA,145.61,2024-11-06
NVDA,148.88,2024-11-07
NVDA,147.63,2024-11-08
NVDA,145.26,2024-11-11
NVDA,148.29,2024-11-12
NVDA,146.27,2024-11-13
NVDA,146.76,2024-11-14
