item_id,year_month,total_value
FOODS_3_090,2011-01,2755
FOODS_3_090,2011-02,6306
FOODS_3_090,2011-03,0
FOODS_3_090,2011-04,0
FOODS_3_090,2011-05,0
FOODS_3_090,2011-06,0
FOODS_3_090,2011-07,0
FOODS_3_090,2011-08,0
FOODS_3_090,2011-09,6169
FOODS_3_090,2011-10,30156
FOODS_3_090,2011-11,29115
FOODS_3_090,2011-12,32163
FOODS_3_090,2012-01,26323
FOODS_3_090,2012-02,21347
FOODS_3_090,2012-03,20779
FOODS_3_090,2012-04,18544
FOODS_3_090,2012-05,19091
FOODS_3_090,2012-06,17740
FOODS_3_090,2012-07,21255
FOODS_3_090,2012-08,22325
FOODS_3_090,2012-09,22007
FOODS_3_090,2012-10,20073
FOODS_3_090,2012-11,25228
FOODS_3_090,2012-12,29760
FOODS_3_090,2013-01,22766
FOODS_3_090,2013-02,19123
FOODS_3_090,2013-03,20320
FOODS_3_090,2013-04,18185
FOODS_3_090,2013-05,19155
FOODS_3_090,2013-06,19112
FOODS_3_090,2013-07,19763
FOODS_3_090,2013-08,30095
FOODS_3_090,2013-09,45377
FOODS_3_090,2013-10,20969
FOODS_3_090,2013-11,8075
FOODS_3_090,2013-12,16338
FOODS_3_090,2014-01,17613
FOODS_3_090,2014-02,3939
FOODS_3_090,2014-03,12732
FOODS_3_090,2014-04,16228
FOODS_3_090,2014-05,7326
FOODS_3_090,2014-06,11500
FOODS_3_090,2014-07,17646
FOODS_3_090,2014-08,16606
FOODS_3_090,2014-09,16921
FOODS_3_090,2014-10,17005
FOODS_3_090,2014-11,17480
FOODS_3_090,2014-12,55
FOODS_3_090,2015-01,16344
FOODS_3_090,2015-02,6519
FOODS_3_090,2015-03,10456
FOODS_3_090,2015-04,16226
FOODS_3_090,2015-05,8737
FOODS_3_090,2015-06,10233
FOODS_3_090,2015-07,19051
FOODS_3_090,2015-08,17231
FOODS_3_090,2015-09,16841
FOODS_3_090,2015-10,17375
FOODS_3_090,2015-11,17333
FOODS_3_090,2015-12,929
FOODS_3_090,2016-01,13459
FOODS_3_090,2016-02,15796
FOODS_3_090,2016-03,16921
FOODS_3_090,2016-04,13613
FOODS_3_120,2011-01,0
FOODS_3_120,2011-02,0
FOODS_3_120,2011-03,0
FOODS_3_120,2011-04,0
FOODS_3_120,2011-05,0
FOODS_3_120,2011-06,0
FOODS_3_120,2011-07,0
FOODS_3_120,2011-08,0
FOODS_3_120,2011-09,0
FOODS_3_120,2011-10,0
FOODS_3_120,2011-11,0
FOODS_3_120,2011-12,0
FOODS_3_120,2012-01,34
FOODS_3_120,2012-02,3342
FOODS_3_120,2012-03,3694
FOODS_3_120,2012-04,4620
FOODS_3_120,2012-05,5314
FOODS_3_120,2012-06,5223
FOODS_3_120,2012-07,6604
FOODS_3_120,2012-08,7812
FOODS_3_120,2012-09,7751
FOODS_3_120,2012-10,3733
FOODS_3_120,2012-11,1486
FOODS_3_120,2012-12,1322
FOODS_3_120,2013-01,1534
FOODS_3_120,2013-02,3254
FOODS_3_120,2013-03,4500
FOODS_3_120,2013-04,3929
FOODS_3_120,2013-05,4429
FOODS_3_120,2013-06,5346
FOODS_3_120,2013-07,5357
FOODS_3_120,2013-08,4148
FOODS_3_120,2013-09,4925
FOODS_3_120,2013-10,4480
FOODS_3_120,2013-11,2475
FOODS_3_120,2013-12,1591
FOODS_3_120,2014-01,2964
FOODS_3_120,2014-02,1902
FOODS_3_120,2014-03,6396
FOODS_3_120,2014-04,4520
FOODS_3_120,2014-05,4989
FOODS_3_120,2014-06,4857
FOODS_3_120,2014-07,6172
FOODS_3_120,2014-08,6880
FOODS_3_120,2014-09,6425
FOODS_3_120,2014-10,6958
FOODS_3_120,2014-11,6251
FOODS_3_120,2014-12,6880
FOODS_3_120,2015-01,8558
FOODS_3_120,2015-02,6864
FOODS_3_120,2015-03,7044
FOODS_3_120,2015-04,6200
FOODS_3_120,2015-05,7740
FOODS_3_120,2015-06,8789
FOODS_3_120,2015-07,8812
FOODS_3_120,2015-08,9450
FOODS_3_120,2015-09,8280
FOODS_3_120,2015-10,8006
FOODS_3_120,2015-11,6836
FOODS_3_120,2015-12,7825
FOODS_3_120,2016-01,8027
FOODS_3_120,2016-02,7403
FOODS_3_120,2016-03,4847
FOODS_3_120,2016-04,6326
FOODS_3_202,2011-01,284
FOODS_3_202,2011-02,3390
FOODS_3_202,2011-03,3790
FOODS_3_202,2011-04,3475
FOODS_3_202,2011-05,3089
FOODS_3_202,2011-06,3200
FOODS_3_202,2011-07,4586
FOODS_3_202,2011-08,4696
FOODS_3_202,2011-09,4997
FOODS_3_202,2011-10,7155
FOODS_3_202,2011-11,6633
FOODS_3_202,2011-12,6089
FOODS_3_202,2012-01,5554
FOODS_3_202,2012-02,6195
FOODS_3_202,2012-03,6518
FOODS_3_202,2012-04,5187
FOODS_3_202,2012-05,5575
FOODS_3_202,2012-06,5174
FOODS_3_202,2012-07,5814
FOODS_3_202,2012-08,5651
FOODS_3_202,2012-09,5004
FOODS_3_202,2012-10,4885
FOODS_3_202,2012-11,5251
FOODS_3_202,2012-12,5203
FOODS_3_202,2013-01,4004
FOODS_3_202,2013-02,4119
FOODS_3_202,2013-03,5396
FOODS_3_202,2013-04,4760
FOODS_3_202,2013-05,5601
FOODS_3_202,2013-06,5859
FOODS_3_202,2013-07,6429
FOODS_3_202,2013-08,5730
FOODS_3_202,2013-09,4330
FOODS_3_202,2013-10,4234
FOODS_3_202,2013-11,4562
FOODS_3_202,2013-12,2681
FOODS_3_202,2014-01,4012
FOODS_3_202,2014-02,3982
FOODS_3_202,2014-03,1771
FOODS_3_202,2014-04,4037
FOODS_3_202,2014-05,5272
FOODS_3_202,2014-06,1358
FOODS_3_202,2014-07,5198
FOODS_3_202,2014-08,1083
FOODS_3_202,2014-09,5777
FOODS_3_202,2014-10,4854
FOODS_3_202,2014-11,4583
FOODS_3_202,2014-12,5031
FOODS_3_202,2015-01,4532
FOODS_3_202,2015-02,4142
FOODS_3_202,2015-03,2959
FOODS_3_202,2015-04,2857
FOODS_3_202,2015-05,5554
FOODS_3_202,2015-06,1469
FOODS_3_202,2015-07,6075
FOODS_3_202,2015-08,2622
FOODS_3_202,2015-09,4761
FOODS_3_202,2015-10,6343
FOODS_3_202,2015-11,5572
FOODS_3_202,2015-12,6141
FOODS_3_202,2016-01,5384
FOODS_3_202,2016-02,5267
FOODS_3_202,2016-03,5250
FOODS_3_202,2016-04,4703
FOODS_3_226,2011-01,497
