year_month,item_id,total_value,key,conf_lo,conf_hi
2011-01-01,FOODS_3_090,2755.0,ACTUAL,,
2011-02-01,FOODS_3_090,6306.0,ACTUAL,,
2011-03-01,FOODS_3_090,0.0,ACTUAL,,
2011-04-01,FOODS_3_090,0.0,ACTUAL,,
2011-05-01,FOODS_3_090,0.0,ACTUAL,,
2011-06-01,FOODS_3_090,0.0,ACTUAL,,
2011-07-01,FOODS_3_090,0.0,ACTUAL,,
2011-08-01,FOODS_3_090,0.0,ACTUAL,,
2011-09-01,FOODS_3_090,6169.0,ACTUAL,,
2011-10-01,FOODS_3_090,30156.0,ACTUAL,,
2011-11-01,FOODS_3_090,29115.0,ACTUAL,,
2011-12-01,FOODS_3_090,32163.0,ACTUAL,,
2012-01-01,FOODS_3_090,26323.0,ACTUAL,,
2012-02-01,FOODS_3_090,21347.0,ACTUAL,,
2012-03-01,FOODS_3_090,20779.0,ACTUAL,,
2012-04-01,FOODS_3_090,18544.0,ACTUAL,,
2012-05-01,FOODS_3_090,19091.0,ACTUAL,,
2012-06-01,FOODS_3_090,17740.0,ACTUAL,,
2012-07-01,FOODS_3_090,21255.0,ACTUAL,,
2012-08-01,FOODS_3_090,22325.0,ACTUAL,,
2012-09-01,FOODS_3_090,22007.0,ACTUAL,,
2012-10-01,FOODS_3_090,20073.0,ACTUAL,,
2012-11-01,FOODS_3_090,25228.0,ACTUAL,,
2012-12-01,FOODS_3_090,29760.0,ACTUAL,,
2013-01-01,FOODS_3_090,22766.0,ACTUAL,,
2013-02-01,FOODS_3_090,19123.0,ACTUAL,,
2013-03-01,FOODS_3_090,20320.0,ACTUAL,,
2013-04-01,FOODS_3_090,18185.0,ACTUAL,,
2013-05-01,FOODS_3_090,19155.0,ACTUAL,,
2013-06-01,FOODS_3_090,19112.0,ACTUAL,,
2013-07-01,FOODS_3_090,19763.0,ACTUAL,,
2013-08-01,FOODS_3_090,30095.0,ACTUAL,,
2013-09-01,FOODS_3_090,45377.0,ACTUAL,,
2013-10-01,FOODS_3_090,20969.0,ACTUAL,,
2013-11-01,FOODS_3_090,8075.0,ACTUAL,,
2013-12-01,FOODS_3_090,16338.0,ACTUAL,,
2014-01-01,FOODS_3_090,17613.0,ACTUAL,,
2014-02-01,FOODS_3_090,3939.0,ACTUAL,,
2014-03-01,FOODS_3_090,12732.0,ACTUAL,,
2014-04-01,FOODS_3_090,16228.0,ACTUAL,,
2014-05-01,FOODS_3_090,7326.0,ACTUAL,,
2014-06-01,FOODS_3_090,11500.0,ACTUAL,,
2014-07-01,FOODS_3_090,17646.0,ACTUAL,,
2014-08-01,FOODS_3_090,16606.0,ACTUAL,,
2014-09-01,FOODS_3_090,16921.0,ACTUAL,,
2014-10-01,FOODS_3_090,17005.0,ACTUAL,,
2014-11-01,FOODS_3_090,17480.0,ACTUAL,,
2014-12-01,FOODS_3_090,55.0,ACTUAL,,
2015-01-01,FOODS_3_090,16344.0,ACTUAL,,
2015-02-01,FOODS_3_090,6519.0,ACTUAL,,
2015-03-01,FOODS_3_090,10456.0,ACTUAL,,
2015-04-01,FOODS_3_090,16226.0,ACTUAL,,
2015-05-01,FOODS_3_090,8737.0,ACTUAL,,
2015-06-01,FOODS_3_090,10233.0,ACTUAL,,
2015-07-01,FOODS_3_090,19051.0,ACTUAL,,
2015-08-01,FOODS_3_090,17231.0,ACTUAL,,
2015-09-01,FOODS_3_090,16841.0,ACTUAL,,
2015-10-01,FOODS_3_090,17375.0,ACTUAL,,
2015-11-01,FOODS_3_090,17333.0,ACTUAL,,
2015-12-01,FOODS_3_090,929.0,ACTUAL,,
2016-01-01,FOODS_3_090,13459.0,ACTUAL,,
2016-02-01,FOODS_3_090,15796.0,ACTUAL,,
2016-03-01,FOODS_3_090,16921.0,ACTUAL,,
2016-04-01,FOODS_3_090,13613.0,ACTUAL,,
2016-05-31,FOODS_3_090,13429.0498046875,FUTURE,5246.453,21611.646
2016-06-30,FOODS_3_090,12191.0419921875,FUTURE,4008.4453,20373.639
2016-07-31,FOODS_3_090,17815.580078125,FUTURE,9632.983,25998.176
2016-08-31,FOODS_3_090,17783.884765625,FUTURE,9601.288,25966.48
2016-09-30,FOODS_3_090,17373.654296875,FUTURE,9191.058,25556.25
2016-10-31,FOODS_3_090,16835.474609375,FUTURE,8652.878,25018.07
2016-11-30,FOODS_3_090,17593.86328125,FUTURE,9411.267,25776.46
2016-12-31,FOODS_3_090,1579.5059814453125,FUTURE,-6603.091,9762.103
2017-01-31,FOODS_3_090,16502.27734375,FUTURE,8319.681,24684.875
2017-02-28,FOODS_3_090,16611.611328125,FUTURE,8429.015,24794.207
2017-03-31,FOODS_3_090,13567.1328125,FUTURE,5384.536,21749.73
2017-04-30,FOODS_3_090,12303.107421875,FUTURE,4120.5107,20485.703
2011-01-01,FOODS_3_120,0.0,ACTUAL,,
2011-02-01,FOODS_3_120,0.0,ACTUAL,,
2011-03-01,FOODS_3_120,0.0,ACTUAL,,
2011-04-01,FOODS_3_120,0.0,ACTUAL,,
2011-05-01,FOODS_3_120,0.0,ACTUAL,,
2011-06-01,FOODS_3_120,0.0,ACTUAL,,
2011-07-01,FOODS_3_120,0.0,ACTUAL,,
2011-08-01,FOODS_3_120,0.0,ACTUAL,,
2011-09-01,FOODS_3_120,0.0,ACTUAL,,
2011-10-01,FOODS_3_120,0.0,ACTUAL,,
2011-11-01,FOODS_3_120,0.0,ACTUAL,,
2011-12-01,FOODS_3_120,0.0,ACTUAL,,
2012-01-01,FOODS_3_120,34.0,ACTUAL,,
2012-02-01,FOODS_3_120,3342.0,ACTUAL,,
2012-03-01,FOODS_3_120,3694.0,ACTUAL,,
2012-04-01,FOODS_3_120,4620.0,ACTUAL,,
2012-05-01,FOODS_3_120,5314.0,ACTUAL,,
2012-06-01,FOODS_3_120,5223.0,ACTUAL,,
2012-07-01,FOODS_3_120,6604.0,ACTUAL,,
2012-08-01,FOODS_3_120,7812.0,ACTUAL,,
2012-09-01,FOODS_3_120,7751.0,ACTUAL,,
2012-10-01,FOODS_3_120,3733.0,ACTUAL,,
2012-11-01,FOODS_3_120,1486.0,ACTUAL,,
2012-12-01,FOODS_3_120,1322.0,ACTUAL,,
2013-01-01,FOODS_3_120,1534.0,ACTUAL,,
2013-02-01,FOODS_3_120,3254.0,ACTUAL,,
2013-03-01,FOODS_3_120,4500.0,ACTUAL,,
2013-04-01,FOODS_3_120,3929.0,ACTUAL,,
2013-05-01,FOODS_3_120,4429.0,ACTUAL,,
2013-06-01,FOODS_3_120,5346.0,ACTUAL,,
2013-07-01,FOODS_3_120,5357.0,ACTUAL,,
2013-08-01,FOODS_3_120,4148.0,ACTUAL,,
2013-09-01,FOODS_3_120,4925.0,ACTUAL,,
2013-10-01,FOODS_3_120,4480.0,ACTUAL,,
2013-11-01,FOODS_3_120,2475.0,ACTUAL,,
2013-12-01,FOODS_3_120,1591.0,ACTUAL,,
2014-01-01,FOODS_3_120,2964.0,ACTUAL,,
2014-02-01,FOODS_3_120,1902.0,ACTUAL,,
2014-03-01,FOODS_3_120,6396.0,ACTUAL,,
2014-04-01,FOODS_3_120,4520.0,ACTUAL,,
2014-05-01,FOODS_3_120,4989.0,ACTUAL,,
2014-06-01,FOODS_3_120,4857.0,ACTUAL,,
2014-07-01,FOODS_3_120,6172.0,ACTUAL,,
2014-08-01,FOODS_3_120,6880.0,ACTUAL,,
2014-09-01,FOODS_3_120,6425.0,ACTUAL,,
2014-10-01,FOODS_3_120,6958.0,ACTUAL,,
2014-11-01,FOODS_3_120,6251.0,ACTUAL,,
2014-12-01,FOODS_3_120,6880.0,ACTUAL,,
2015-01-01,FOODS_3_120,8558.0,ACTUAL,,
2015-02-01,FOODS_3_120,6864.0,ACTUAL,,
2015-03-01,FOODS_3_120,7044.0,ACTUAL,,
2015-04-01,FOODS_3_120,6200.0,ACTUAL,,
2015-05-01,FOODS_3_120,7740.0,ACTUAL,,
2015-06-01,FOODS_3_120,8789.0,ACTUAL,,
2015-07-01,FOODS_3_120,8812.0,ACTUAL,,
2015-08-01,FOODS_3_120,9450.0,ACTUAL,,
2015-09-01,FOODS_3_120,8280.0,ACTUAL,,
2015-10-01,FOODS_3_120,8006.0,ACTUAL,,
2015-11-01,FOODS_3_120,6836.0,ACTUAL,,
2015-12-01,FOODS_3_120,7825.0,ACTUAL,,
2016-01-01,FOODS_3_120,8027.0,ACTUAL,,
2016-02-01,FOODS_3_120,7403.0,ACTUAL,,
2016-03-01,FOODS_3_120,4847.0,ACTUAL,,
2016-04-01,FOODS_3_120,6326.0,ACTUAL,,
2016-05-31,FOODS_3_120,5990.59228515625,FUTURE,4204.6465,7776.538
2016-06-30,FOODS_3_120,6714.271484375,FUTURE,4928.326,8500.217
2016-07-31,FOODS_3_120,6536.95458984375,FUTURE,4751.009,8322.9
2016-08-31,FOODS_3_120,6320.46240234375,FUTURE,4534.5166,8106.408
2016-09-30,FOODS_3_120,6210.18701171875,FUTURE,4424.241,7996.133
2016-10-31,FOODS_3_120,6305.65087890625,FUTURE,4519.705,8091.5967
2016-11-30,FOODS_3_120,6024.51611328125,FUTURE,4238.5703,7810.462
2016-12-31,FOODS_3_120,5969.99609375,FUTURE,4184.051,7755.9414
2017-01-31,FOODS_3_120,5721.4091796875,FUTURE,3935.4636,7507.3545
2017-02-28,FOODS_3_120,5723.603515625,FUTURE,3937.658,7509.549
2017-03-31,FOODS_3_120,6125.51220703125,FUTURE,4339.5664,7911.458
2017-04-30,FOODS_3_120,6083.109375,FUTURE,4297.164,7869.0547
2011-01-01,FOODS_3_202,284.0,ACTUAL,,
2011-02-01,FOODS_3_202,3390.0,ACTUAL,,
2011-03-01,FOODS_3_202,3790.0,ACTUAL,,
2011-04-01,FOODS_3_202,3475.0,ACTUAL,,
2011-05-01,FOODS_3_202,3089.0,ACTUAL,,
2011-06-01,FOODS_3_202,3200.0,ACTUAL,,
2011-07-01,FOODS_3_202,4586.0,ACTUAL,,
2011-08-01,FOODS_3_202,4696.0,ACTUAL,,
2011-09-01,FOODS_3_202,4997.0,ACTUAL,,
2011-10-01,FOODS_3_202,7155.0,ACTUAL,,
2011-11-01,FOODS_3_202,6633.0,ACTUAL,,
2011-12-01,FOODS_3_202,6089.0,ACTUAL,,
2012-01-01,FOODS_3_202,5554.0,ACTUAL,,
2012-02-01,FOODS_3_202,6195.0,ACTUAL,,
2012-03-01,FOODS_3_202,6518.0,ACTUAL,,
2012-04-01,FOODS_3_202,5187.0,ACTUAL,,
2012-05-01,FOODS_3_202,5575.0,ACTUAL,,
2012-06-01,FOODS_3_202,5174.0,ACTUAL,,
2012-07-01,FOODS_3_202,5814.0,ACTUAL,,
2012-08-01,FOODS_3_202,5651.0,ACTUAL,,
2012-09-01,FOODS_3_202,5004.0,ACTUAL,,
2012-10-01,FOODS_3_202,4885.0,ACTUAL,,
2012-11-01,FOODS_3_202,5251.0,ACTUAL,,
2012-12-01,FOODS_3_202,5203.0,ACTUAL,,
2013-01-01,FOODS_3_202,4004.0,ACTUAL,,
2013-02-01,FOODS_3_202,4119.0,ACTUAL,,
2013-03-01,FOODS_3_202,5396.0,ACTUAL,,
2013-04-01,FOODS_3_202,4760.0,ACTUAL,,
2013-05-01,FOODS_3_202,5601.0,ACTUAL,,
2013-06-01,FOODS_3_202,5859.0,ACTUAL,,
2013-07-01,FOODS_3_202,6429.0,ACTUAL,,
2013-08-01,FOODS_3_202,5730.0,ACTUAL,,
2013-09-01,FOODS_3_202,4330.0,ACTUAL,,
2013-10-01,FOODS_3_202,4234.0,ACTUAL,,
2013-11-01,FOODS_3_202,4562.0,ACTUAL,,
2013-12-01,FOODS_3_202,2681.0,ACTUAL,,
2014-01-01,FOODS_3_202,4012.0,ACTUAL,,
2014-02-01,FOODS_3_202,3982.0,ACTUAL,,
2014-03-01,FOODS_3_202,1771.0,ACTUAL,,
2014-04-01,FOODS_3_202,4037.0,ACTUAL,,
2014-05-01,FOODS_3_202,5272.0,ACTUAL,,
2014-06-01,FOODS_3_202,1358.0,ACTUAL,,
2014-07-01,FOODS_3_202,5198.0,ACTUAL,,
2014-08-01,FOODS_3_202,1083.0,ACTUAL,,
2014-09-01,FOODS_3_202,5777.0,ACTUAL,,
2014-10-01,FOODS_3_202,4854.0,ACTUAL,,
2014-11-01,FOODS_3_202,4583.0,ACTUAL,,
2014-12-01,FOODS_3_202,5031.0,ACTUAL,,
2015-01-01,FOODS_3_202,4532.0,ACTUAL,,
2015-02-01,FOODS_3_202,4142.0,ACTUAL,,
2015-03-01,FOODS_3_202,2959.0,ACTUAL,,
2015-04-01,FOODS_3_202,2857.0,ACTUAL,,
2015-05-01,FOODS_3_202,5554.0,ACTUAL,,
2015-06-01,FOODS_3_202,1469.0,ACTUAL,,
2015-07-01,FOODS_3_202,6075.0,ACTUAL,,
2015-08-01,FOODS_3_202,2622.0,ACTUAL,,
2015-09-01,FOODS_3_202,4761.0,ACTUAL,,
2015-10-01,FOODS_3_202,6343.0,ACTUAL,,
2015-11-01,FOODS_3_202,5572.0,ACTUAL,,
2015-12-01,FOODS_3_202,6141.0,ACTUAL,,
2016-01-01,FOODS_3_202,5384.0,ACTUAL,,
2016-02-01,FOODS_3_202,5267.0,ACTUAL,,
2016-03-01,FOODS_3_202,5250.0,ACTUAL,,
2016-04-01,FOODS_3_202,4703.0,ACTUAL,,
2016-05-31,FOODS_3_202,5207.42626953125,FUTURE,3625.7598,6789.093
2016-06-30,FOODS_3_202,4556.59130859375,FUTURE,2974.9248,6138.258
2016-07-31,FOODS_3_202,4570.35546875,FUTURE,2988.689,6152.022
2016-08-31,FOODS_3_202,4836.11376953125,FUTURE,3254.4473,6417.7803
2016-09-30,FOODS_3_202,4877.8662109375,FUTURE,3296.1997,6459.5327
2016-10-31,FOODS_3_202,5851.90869140625,FUTURE,4270.242,7433.575
2016-11-30,FOODS_3_202,5985.30078125,FUTURE,4403.6343,7566.9673
2016-12-31,FOODS_3_202,5489.99951171875,FUTURE,3908.333,7071.666
2017-01-31,FOODS_3_202,5212.01953125,FUTURE,3630.353,6793.686
2017-02-28,FOODS_3_202,5216.77734375,FUTURE,3635.1108,6798.444
2017-03-31,FOODS_3_202,5070.7021484375,FUTURE,3489.0356,6652.3687
2017-04-30,FOODS_3_202,4328.43017578125,FUTURE,2746.7637,5910.0967
2011-01-01,FOODS_3_226,497.0,ACTUAL,,
2011-02-01,FOODS_3_226,4789.0,ACTUAL,,
2011-03-01,FOODS_3_226,4858.0,ACTUAL,,
2011-04-01,FOODS_3_226,4737.0,ACTUAL,,
2011-05-01,FOODS_3_226,4654.0,ACTUAL,,
2011-06-01,FOODS_3_226,4532.0,ACTUAL,,
2011-07-01,FOODS_3_226,5498.0,ACTUAL,,
2011-08-01,FOODS_3_226,5270.0,ACTUAL,,
2011-09-01,FOODS_3_226,4108.0,ACTUAL,,
